,lyft_display_name,lyft_max_estimate,lyft_min_estimate,lyft_distance,lyft_duration,lyft_category
28159,Lyft Line,530,530,2.91,799,Carpool Service
28165,Lyft Line,584,584,2.46,725,Carpool Service
28171,Lyft Line,591,591,2.76,718,Carpool Service
28177,Lyft Line,723,723,3.72,905,Carpool Service
28183,Lyft Line,471,471,1.43,491,Carpool Service
28189,Lyft Line,690,690,2.75,959,Carpool Service
28195,Lyft Line,539,539,1.9,660,Carpool Service
28201,Lyft Line,582,582,2.27,714,Carpool Service
28207,Lyft Line,559,559,2.53,548,Carpool Service
28213,Lyft Line,638,638,2.99,735,Carpool Service
28219,Lyft Line,603,603,2.69,687,Carpool Service
28225,Lyft Line,495,495,1.97,537,Carpool Service
28231,Lyft Line,644,644,2.96,826,Carpool Service
28237,Lyft Line,565,565,2.33,694,Carpool Service
28243,Lyft Line,479,479,1.79,454,Carpool Service
28249,Lyft Line,669,669,3.0,833,Carpool Service
28255,Lyft Line,667,667,3.13,816,Carpool Service
28261,Lyft Line,692,692,3.27,923,Carpool Service
28267,Lyft Line,578,578,2.47,658,Carpool Service
28273,Lyft Line,532,532,1.78,745,Carpool Service
28279,Lyft Line,541,541,2.12,616,Carpool Service
28285,Lyft Line,678,678,3.37,828,Carpool Service
28291,Lyft Line,621,621,2.79,783,Carpool Service
28297,Lyft Line,616,616,2.86,709,Carpool Service
28303,Lyft Line,581,581,2.48,659,Carpool Service
28309,Lyft Line,475,475,1.64,461,Carpool Service
28315,Lyft Line,540,540,1.92,655,Carpool Service
28321,Lyft Line,620,620,2.72,758,Carpool Service
28327,Lyft Line,664,664,2.84,956,Carpool Service
28333,Lyft Line,579,579,2.73,559,Carpool Service
28339,Lyft Line,515,515,1.95,524,Carpool Service
28345,Lyft Line,588,588,2.62,646,Carpool Service
28351,Lyft Line,547,547,2.16,597,Carpool Service
28357,Lyft Line,564,564,2.35,670,Carpool Service
28363,Lyft Line,511,511,1.81,597,Carpool Service
28369,Lyft Line,512,512,1.72,638,Carpool Service
28375,Lyft Line,774,774,3.89,1234,Carpool Service
28381,Lyft Line,687,687,3.15,1054,Carpool Service
28387,Lyft Line,427,427,1.33,485,Carpool Service
28393,Lyft Line,745,745,4.14,1015,Carpool Service
28399,Lyft Line,631,631,3.4,770,Carpool Service
28405,Lyft Line,510,510,2.0,672,Carpool Service
28411,Lyft Line,595,595,2.45,927,Carpool Service
28417,Lyft Line,598,598,2.58,840,Carpool Service
28423,Lyft Line,693,693,3.3,1082,Carpool Service
28429,Lyft Line,686,686,2.92,1252,Carpool Service
28435,Lyft Line,821,821,2.46,1030,Carpool Service
28441,Lyft Line,416,416,1.14,456,Carpool Service
28447,Lyft Line,504,504,1.82,758,Carpool Service
28453,Lyft Line,548,548,2.47,820,Carpool Service
28459,Lyft Line,552,552,1.92,913,Carpool Service
28465,Lyft Line,541,541,2.09,751,Carpool Service
28471,Lyft Line,467,467,1.97,474,Carpool Service
28477,Lyft Line,566,566,2.43,745,Carpool Service
28483,Lyft Line,487,487,1.65,690,Carpool Service
28489,Lyft Line,441,441,1.8,411,Carpool Service
28495,Lyft Line,690,690,3.12,1023,Carpool Service
28501,Lyft Line,544,544,2.08,813,Carpool Service
28507,Lyft Line,613,613,2.68,1029,Carpool Service
28513,Lyft Line,439,439,1.35,534,Carpool Service
28519,Lyft Line,539,539,1.92,808,Carpool Service
28525,Lyft Line,608,608,2.84,942,Carpool Service
28531,Lyft Line,624,624,3.36,802,Carpool Service
28537,Lyft Line,646,646,1.44,514,Carpool Service
28543,Lyft Line,621,621,2.83,1066,Carpool Service
28549,Lyft Line,580,580,2.42,901,Carpool Service
28555,Lyft Line,555,555,1.57,626,Carpool Service
28561,Lyft Line,528,528,1.84,784,Carpool Service
28567,Lyft Line,636,636,2.88,932,Carpool Service
28573,Lyft Line,663,663,2.93,1190,Carpool Service
28579,Lyft Line,557,557,2.07,839,Carpool Service
28585,Lyft Line,533,533,1.95,790,Carpool Service
28591,Lyft Line,437,437,1.69,394,Carpool Service
28597,Lyft Line,636,636,3.15,956,Carpool Service
28603,Lyft Line,526,526,1.8,791,Carpool Service
28609,Lyft Line,461,461,1.84,611,Carpool Service
28615,Lyft Line,564,564,2.47,763,Carpool Service
28621,Lyft Line,554,554,2.22,763,Carpool Service
28627,Lyft Line,539,539,2.08,745,Carpool Service
28633,Lyft Line,520,520,1.93,751,Carpool Service
28639,Lyft Line,537,537,1.4,467,Carpool Service
28645,Lyft Line,554,554,1.5,600,Carpool Service
28651,Lyft Line,875,875,3.28,1170,Carpool Service
28657,Lyft Line,488,488,1.73,635,Carpool Service
28663,Lyft Line,511,511,2.12,674,Carpool Service
28669,Lyft Line,730,730,3.73,1145,Carpool Service
28675,Lyft Line,570,570,2.27,814,Carpool Service
28681,Lyft Line,567,567,2.68,869,Carpool Service
28687,Lyft Line,906,906,2.82,1090,Carpool Service
28693,Lyft Line,569,569,2.29,792,Carpool Service
28699,Lyft Line,567,567,2.19,878,Carpool Service
28705,Lyft Line,799,799,3.39,949,Carpool Service
28711,Lyft Line,428,428,1.46,549,Carpool Service
28717,Lyft Line,559,559,2.1,839,Carpool Service
28723,Lyft Line,682,682,3.36,1051,Carpool Service
28729,Lyft Line,498,498,1.87,705,Carpool Service
28735,Lyft Line,554,554,1.94,997,Carpool Service
28741,Lyft Line,456,456,1.75,541,Carpool Service
28747,Lyft Line,883,883,3.27,1331,Carpool Service
28753,Lyft Line,542,542,2.6,606,Carpool Service
28759,Lyft Line,639,639,3.07,1000,Carpool Service
28765,Lyft Line,643,643,2.76,1040,Carpool Service
28771,Lyft Line,526,526,2.23,609,Carpool Service
28777,Lyft Line,496,496,1.82,637,Carpool Service
28783,Lyft Line,626,626,2.96,879,Carpool Service
28789,Lyft Line,627,627,2.9,859,Carpool Service
28795,Lyft Line,604,604,2.66,918,Carpool Service
28801,Lyft Line,457,457,1.63,589,Carpool Service
28807,Lyft Line,475,475,1.49,663,Carpool Service
28813,Lyft Line,472,472,1.84,623,Carpool Service
28819,Lyft Line,472,472,1.66,618,Carpool Service
28825,Lyft Line,564,564,2.13,845,Carpool Service
28831,Lyft Line,472,472,1.69,570,Carpool Service
28837,Lyft Line,727,727,3.25,1215,Carpool Service
28843,Lyft Line,587,587,2.82,789,Carpool Service
28849,Lyft Line,673,673,1.7,688,Carpool Service
28855,Lyft Line,1160,1160,4.02,1183,Carpool Service
28861,Lyft Line,704,704,3.34,1128,Carpool Service
28867,Lyft Line,692,692,2.46,814,Carpool Service
28873,Lyft Line,596,596,2.07,1029,Carpool Service
28879,Lyft Line,817,817,2.48,906,Carpool Service
28885,Lyft Line,660,660,1.93,630,Carpool Service
28891,Lyft Line,750,750,2.1,812,Carpool Service
28897,Lyft Line,941,941,2.35,881,Carpool Service
28903,Lyft Line,543,543,2.4,823,Carpool Service
28909,Lyft Line,967,967,3.35,1111,Carpool Service
28915,Lyft Line,683,683,1.66,735,Carpool Service
28921,Lyft Line,724,724,3.79,1168,Carpool Service
28927,Lyft Line,584,584,2.46,913,Carpool Service
28933,Lyft Line,837,837,4.64,1283,Carpool Service
28939,Lyft Line,584,584,2.14,945,Carpool Service
28945,Lyft Line,464,464,1.46,621,Carpool Service
28951,Lyft Line,545,545,1.97,951,Carpool Service
28957,Lyft Line,556,556,1.94,1005,Carpool Service
28963,Lyft Line,451,451,1.67,581,Carpool Service
28969,Lyft Line,590,590,2.67,768,Carpool Service
28975,Lyft Line,696,696,2.27,837,Carpool Service
28981,Lyft Line,699,699,2.67,950,Carpool Service
28987,Lyft Line,680,680,2.81,1206,Carpool Service
28993,Lyft Line,539,539,1.83,827,Carpool Service
28999,Lyft Line,545,545,1.69,635,Carpool Service
29005,Lyft Line,640,640,3.01,1030,Carpool Service
29011,Lyft Line,477,477,1.48,673,Carpool Service
29017,Lyft Line,649,649,2.59,946,Carpool Service
29023,Lyft Line,777,777,2.17,814,Carpool Service
29029,Lyft Line,603,603,2.82,998,Carpool Service
29035,Lyft Line,473,473,2.72,876,Carpool Service
29041,Lyft Line,1030,1030,3.54,1089,Carpool Service
29047,Lyft Line,933,933,3.86,1286,Carpool Service
29053,Lyft Line,706,706,3.87,972,Carpool Service
29059,Lyft Line,466,466,1.56,623,Carpool Service
29065,Lyft Line,631,631,2.97,854,Carpool Service
29071,Lyft Line,599,599,3.08,957,Carpool Service
29077,Lyft Line,619,619,2.79,863,Carpool Service
29083,Lyft Line,590,590,2.41,964,Carpool Service
29089,Lyft Line,534,534,2.42,586,Carpool Service
29095,Lyft Line,612,612,3.03,832,Carpool Service
29101,Lyft Line,549,549,2.36,728,Carpool Service
29107,Lyft Line,468,468,2.0,497,Carpool Service
29113,Lyft Line,551,551,2.52,674,Carpool Service
29119,Lyft Line,728,728,3.73,1078,Carpool Service
29125,Lyft Line,493,493,1.76,714,Carpool Service
29131,Lyft Line,523,523,2.55,659,Carpool Service
29137,Lyft Line,490,490,2.16,502,Carpool Service
29143,Lyft Line,534,534,2.32,708,Carpool Service
29149,Lyft Line,799,799,4.8,1104,Carpool Service
29155,Lyft Line,683,683,2.09,729,Carpool Service
29161,Lyft Line,472,472,1.86,575,Carpool Service
29167,Lyft Line,760,760,3.66,1221,Carpool Service
29173,Lyft Line,735,735,3.48,1009,Carpool Service
29179,Lyft Line,529,529,1.84,834,Carpool Service
29185,Lyft Line,493,493,1.75,686,Carpool Service
29191,Lyft Line,627,627,3.25,826,Carpool Service
29197,Lyft Line,438,438,1.49,482,Carpool Service
29203,Lyft Line,505,505,2.22,524,Carpool Service
29209,Lyft Line,641,641,3.1,904,Carpool Service
29215,Lyft Line,546,546,2.43,816,Carpool Service
29221,Lyft Line,527,527,1.93,744,Carpool Service
29227,Lyft Line,485,485,1.7,667,Carpool Service
29233,Lyft Line,461,461,1.66,595,Carpool Service
29239,Lyft Line,625,625,3.13,911,Carpool Service
29245,Lyft Line,571,571,2.6,872,Carpool Service
29251,Lyft Line,621,621,3.36,914,Carpool Service
29257,Lyft Line,1100,1100,4.11,1037,Carpool Service
29263,Lyft Line,521,521,2.31,650,Carpool Service
29269,Lyft Line,555,555,2.45,772,Carpool Service
29275,Lyft Line,533,533,2.29,719,Carpool Service
29281,Lyft Line,665,665,3.83,890,Carpool Service
29287,Lyft Line,485,485,1.54,549,Carpool Service
29293,Lyft Line,529,529,2.11,771,Carpool Service
29299,Lyft Line,480,480,1.71,637,Carpool Service
29305,Lyft Line,686,686,3.48,1037,Carpool Service
29311,Lyft Line,553,553,2.34,710,Carpool Service
29317,Lyft Line,569,569,2.57,794,Carpool Service
29323,Lyft Line,486,486,2.08,514,Carpool Service
29329,Lyft Line,537,537,2.26,707,Carpool Service
29335,Lyft Line,541,541,2.44,655,Carpool Service
29341,Lyft Line,524,524,2.27,599,Carpool Service
29347,Lyft Line,498,498,2.25,557,Carpool Service
29353,Lyft Line,489,489,1.61,740,Carpool Service
29359,Lyft Line,490,490,1.85,716,Carpool Service
29365,Lyft Line,527,527,2.07,775,Carpool Service
29371,Lyft Line,442,442,1.5,562,Carpool Service
29377,Lyft Line,508,508,1.79,812,Carpool Service
29383,Lyft Line,806,806,3.15,1151,Carpool Service
29389,Lyft Line,455,455,1.59,521,Carpool Service
29395,Lyft Line,560,560,2.73,733,Carpool Service
29401,Lyft Line,622,622,3.13,948,Carpool Service
29407,Lyft Line,561,561,2.3,769,Carpool Service
29413,Lyft Line,491,491,1.85,718,Carpool Service
29419,Lyft Line,478,478,2.15,620,Carpool Service
29425,Lyft Line,731,731,3.62,1152,Carpool Service
29431,Lyft Line,570,570,2.61,783,Carpool Service
29437,Lyft Line,683,683,2.95,1164,Carpool Service
29443,Lyft Line,556,556,2.29,885,Carpool Service
29449,Lyft Line,619,619,2.8,760,Carpool Service
29455,Lyft Line,674,674,3.06,945,Carpool Service
29461,Lyft Line,651,651,3.01,789,Carpool Service
29467,Lyft Line,577,577,2.4,764,Carpool Service
29473,Lyft Line,524,524,1.77,602,Carpool Service
29479,Lyft Line,503,503,1.62,653,Carpool Service
29485,Lyft Line,614,614,2.61,732,Carpool Service
29491,Lyft Line,616,616,2.27,867,Carpool Service
29497,Lyft Line,664,664,2.81,753,Carpool Service
29503,Lyft Line,607,607,2.72,780,Carpool Service
29509,Lyft Line,651,651,3.04,1031,Carpool Service
29515,Lyft Line,613,613,3.03,843,Carpool Service
29521,Lyft Line,614,614,2.61,732,Carpool Service
29527,Lyft Line,628,628,2.69,802,Carpool Service
29533,Lyft Line,343,343,1.52,547,Carpool Service
29539,Lyft Line,511,511,2.14,669,Carpool Service
29545,Lyft Line,520,520,1.92,673,Carpool Service
29551,Lyft Line,634,634,2.9,756,Carpool Service
29557,Lyft Line,669,669,3.33,838,Carpool Service
29563,Lyft Line,506,506,2.08,463,Carpool Service
29569,Lyft Line,508,508,1.99,627,Carpool Service
29575,Lyft Line,442,442,1.68,582,Carpool Service
29581,Lyft Line,525,525,2.23,533,Carpool Service
29587,Lyft Line,342,342,1.51,543,Carpool Service
29593,Lyft Line,606,606,2.26,827,Carpool Service
29599,Lyft Line,692,692,3.42,923,Carpool Service
29605,Lyft Line,652,652,3.44,827,Carpool Service
29611,Lyft Line,584,584,2.64,658,Carpool Service
29617,Lyft Line,604,604,2.91,696,Carpool Service
29623,Lyft Line,577,577,2.45,620,Carpool Service
29629,Lyft Line,646,646,3.06,749,Carpool Service
29635,Lyft Line,686,686,3.03,981,Carpool Service
29641,Lyft Line,545,545,2.45,550,Carpool Service
29647,Lyft Line,603,603,2.68,737,Carpool Service
29653,Lyft Line,636,636,2.77,796,Carpool Service
29659,Lyft Line,639,639,2.88,736,Carpool Service
29665,Lyft Line,618,618,2.65,776,Carpool Service
29671,Lyft Line,660,660,2.95,857,Carpool Service
29677,Lyft Line,841,841,3.45,880,Carpool Service
29683,Lyft Line,439,439,1.63,496,Carpool Service
29689,Lyft Line,634,634,2.89,800,Carpool Service
29695,Lyft Line,489,489,1.78,579,Carpool Service
29701,Lyft Line,642,642,3.29,925,Carpool Service
29707,Lyft Line,483,483,1.5,519,Carpool Service
29713,Lyft Line,652,652,3.13,842,Carpool Service
29719,Lyft Line,549,549,2.43,659,Carpool Service
29725,Lyft Line,509,509,1.69,567,Carpool Service
29731,Lyft Line,541,541,2.14,692,Carpool Service
29737,Lyft Line,540,540,1.97,696,Carpool Service
29743,Lyft Line,509,509,1.69,567,Carpool Service
29749,Lyft Line,583,583,2.61,806,Carpool Service
29755,Lyft Line,526,526,2.0,635,Carpool Service
29761,Lyft Line,560,560,2.32,715,Carpool Service
29767,Lyft Line,584,584,2.36,645,Carpool Service
29773,Lyft Line,650,650,3.04,909,Carpool Service
29779,Lyft Line,700,700,3.06,843,Carpool Service
29785,Lyft Line,524,524,1.81,661,Carpool Service
29791,Lyft Line,574,574,2.52,619,Carpool Service
29797,Lyft Line,512,512,1.95,585,Carpool Service
29803,Lyft Line,623,623,3.05,886,Carpool Service
29809,Lyft Line,636,636,2.85,823,Carpool Service
29815,Lyft Line,469,469,1.62,510,Carpool Service
29821,Lyft Line,561,561,2.45,626,Carpool Service
29827,Lyft Line,555,555,2.41,570,Carpool Service
29833,Lyft Line,459,459,1.54,460,Carpool Service
29839,Lyft Line,587,587,2.24,789,Carpool Service
29845,Lyft Line,747,747,3.52,1096,Carpool Service
29851,Lyft Line,486,486,1.52,524,Carpool Service
29857,Lyft Line,679,679,3.11,838,Carpool Service
29863,Lyft Line,576,576,2.28,725,Carpool Service
29869,Lyft Line,504,504,1.74,558,Carpool Service
29875,Lyft Line,644,644,3.1,760,Carpool Service
29881,Lyft Line,487,487,1.57,509,Carpool Service
29887,Lyft Line,588,588,2.32,668,Carpool Service
29893,Lyft Line,618,618,2.76,770,Carpool Service
29899,Lyft Line,649,649,2.68,864,Carpool Service
29905,Lyft Line,737,737,3.99,855,Carpool Service
29911,Lyft Line,489,489,1.43,643,Carpool Service
29917,Lyft Line,530,530,1.98,659,Carpool Service
29923,Lyft Line,540,540,2.08,666,Carpool Service
29929,Lyft Line,568,568,2.23,702,Carpool Service
29935,Lyft Line,528,528,2.16,584,Carpool Service
29941,Lyft Line,621,621,2.87,797,Carpool Service
29947,Lyft Line,664,664,3.06,922,Carpool Service
29953,Lyft Line,667,667,2.93,896,Carpool Service
29959,Lyft Line,558,558,2.23,583,Carpool Service
29965,Lyft Line,659,659,2.27,574,Carpool Service
29971,Lyft Line,613,613,2.73,676,Carpool Service
29977,Lyft Line,707,707,3.25,958,Carpool Service
29983,Lyft Line,580,580,2.48,664,Carpool Service
29989,Lyft Line,592,592,2.52,748,Carpool Service
29995,Lyft Line,528,528,1.77,735,Carpool Service
30001,Lyft Line,655,655,2.91,804,Carpool Service
30007,Lyft Line,800,800,3.76,1112,Carpool Service
30013,Lyft Line,607,607,2.56,749,Carpool Service
30019,Lyft Line,537,537,2.02,602,Carpool Service
30025,Lyft Line,584,584,2.47,729,Carpool Service
30031,Lyft Line,618,618,2.88,728,Carpool Service
30037,Lyft Line,622,622,2.86,741,Carpool Service
30043,Lyft Line,500,500,1.66,566,Carpool Service
30049,Lyft Line,555,555,2.3,574,Carpool Service
30055,Lyft Line,667,667,3.01,803,Carpool Service
30061,Lyft Line,497,497,1.56,629,Carpool Service
30067,Lyft Line,587,587,2.65,672,Carpool Service
30073,Lyft Line,551,551,2.25,614,Carpool Service
30079,Lyft Line,831,831,4.32,1155,Carpool Service
30085,Lyft Line,604,604,2.83,775,Carpool Service
30091,Lyft Line,506,506,1.91,535,Carpool Service
30097,Lyft Line,613,613,2.9,876,Carpool Service
30103,Lyft Line,624,624,2.44,838,Carpool Service
30109,Lyft Line,534,534,2.19,559,Carpool Service
30115,Lyft Line,570,570,2.28,731,Carpool Service
30121,Lyft Line,535,535,1.98,643,Carpool Service
30127,Lyft Line,566,566,2.45,829,Carpool Service
30133,Lyft Line,598,598,2.57,710,Carpool Service
30139,Lyft Line,692,692,3.14,885,Carpool Service
30145,Lyft Line,464,464,1.56,474,Carpool Service
30151,Lyft Line,538,538,2.34,559,Carpool Service
30157,Lyft Line,649,649,2.87,928,Carpool Service
30163,Lyft Line,610,610,2.24,856,Carpool Service
30169,Lyft Line,601,601,2.73,755,Carpool Service
30175,Lyft Line,591,591,2.54,648,Carpool Service
30181,Lyft Line,602,602,2.44,734,Carpool Service
30187,Lyft Line,668,668,3.44,925,Carpool Service
30193,Lyft Line,569,569,2.2,681,Carpool Service
30199,Lyft Line,546,546,2.07,662,Carpool Service
30205,Lyft Line,595,595,2.54,709,Carpool Service
30211,Lyft Line,471,471,1.51,466,Carpool Service
30217,Lyft Line,507,507,1.91,539,Carpool Service
30223,Lyft Line,543,543,2.05,692,Carpool Service
30229,Lyft Line,679,679,3.12,826,Carpool Service
30235,Lyft Line,532,532,1.84,712,Carpool Service
30241,Lyft Line,524,524,1.72,622,Carpool Service
30247,Lyft Line,578,578,2.11,758,Carpool Service
30253,Lyft Line,579,579,2.28,738,Carpool Service
30259,Lyft Line,649,649,2.91,915,Carpool Service
30265,Lyft Line,460,460,1.68,344,Carpool Service
30271,Lyft Line,549,549,2.16,680,Carpool Service
30277,Lyft Line,532,532,1.83,650,Carpool Service
30283,Lyft Line,653,653,3.14,752,Carpool Service
30289,Lyft Line,616,616,2.65,719,Carpool Service
30295,Lyft Line,602,602,2.27,800,Carpool Service
30301,Lyft Line,839,839,4.74,1056,Carpool Service
30307,Lyft Line,480,480,1.59,534,Carpool Service
30313,Lyft Line,614,614,2.62,887,Carpool Service
30319,Lyft Line,687,687,3.72,763,Carpool Service
30325,Lyft Line,579,579,2.62,735,Carpool Service
30331,Lyft Line,708,708,3.33,1036,Carpool Service
30337,Lyft Line,783,783,3.94,1095,Carpool Service
30343,Lyft Line,666,666,3.07,792,Carpool Service
30349,Lyft Line,574,574,2.1,740,Carpool Service
30355,Lyft Line,549,549,1.88,697,Carpool Service
30361,Lyft Line,695,695,3.77,785,Carpool Service
30367,Lyft Line,675,675,3.07,966,Carpool Service
30373,Lyft Line,541,541,1.99,631,Carpool Service
30379,Lyft Line,786,786,4.25,981,Carpool Service
30385,Lyft Line,661,661,3.11,750,Carpool Service
30391,Lyft Line,606,606,2.83,697,Carpool Service
30397,Lyft Line,534,534,2.17,557,Carpool Service
30403,Lyft Line,822,822,4.73,1042,Carpool Service
30409,Lyft Line,523,523,1.81,695,Carpool Service
30415,Lyft Line,683,683,3.07,870,Carpool Service
30421,Lyft Line,520,520,2.16,541,Carpool Service
30427,Lyft Line,697,697,3.88,806,Carpool Service
30433,Lyft Line,847,847,4.35,1069,Carpool Service
30439,Lyft Line,482,482,1.8,434,Carpool Service
30445,Lyft Line,558,558,2.23,649,Carpool Service
30451,Lyft Line,679,679,3.02,873,Carpool Service
30457,Lyft Line,676,676,3.38,892,Carpool Service
30463,Lyft Line,567,567,2.35,694,Carpool Service
30469,Lyft Line,650,650,2.91,920,Carpool Service
30475,Lyft Line,620,620,2.66,717,Carpool Service
30481,Lyft Line,570,570,2.03,749,Carpool Service
30487,Lyft Line,790,790,4.27,994,Carpool Service
30493,Lyft Line,707,707,3.16,1049,Carpool Service
30499,Lyft Line,612,612,2.35,780,Carpool Service
30505,Lyft Line,547,547,1.91,768,Carpool Service
30511,Lyft Line,635,635,2.62,865,Carpool Service
30517,Lyft Line,667,667,3.07,839,Carpool Service
30523,Lyft Line,665,665,3.24,916,Carpool Service
30529,Lyft Line,587,587,2.32,799,Carpool Service
30535,Lyft Line,543,543,1.96,689,Carpool Service
30541,Lyft Line,682,682,3.29,826,Carpool Service
30547,Lyft Line,588,588,2.06,819,Carpool Service
30553,Lyft Line,569,569,1.97,833,Carpool Service
30559,Lyft Line,601,601,2.68,683,Carpool Service
30565,Lyft Line,567,567,2.26,719,Carpool Service
30571,Lyft Line,502,502,1.93,582,Carpool Service
30577,Lyft Line,744,744,3.69,1012,Carpool Service
30583,Lyft Line,532,532,2.09,668,Carpool Service
30589,Lyft Line,469,469,1.41,491,Carpool Service
30595,Lyft Line,772,772,4.24,871,Carpool Service
30601,Lyft Line,571,571,2.27,740,Carpool Service
30607,Lyft Line,578,578,2.36,692,Carpool Service
30613,Lyft Line,557,557,1.92,736,Carpool Service
30619,Lyft Line,599,599,2.91,675,Carpool Service
30625,Lyft Line,779,779,3.0,719,Carpool Service
30631,Lyft Line,697,697,3.46,884,Carpool Service
30637,Lyft Line,545,545,2.19,693,Carpool Service
30643,Lyft Line,472,472,1.53,524,Carpool Service
30649,Lyft Line,560,560,2.26,725,Carpool Service
30655,Lyft Line,702,702,3.4,927,Carpool Service
30661,Lyft Line,617,617,2.92,802,Carpool Service
30667,Lyft Line,533,533,2.15,690,Carpool Service
30673,Lyft Line,669,669,2.69,954,Carpool Service
30679,Lyft Line,558,558,2.22,651,Carpool Service
30685,Lyft Line,849,849,4.48,1123,Carpool Service
30691,Lyft Line,563,563,2.4,605,Carpool Service
30697,Lyft Line,542,542,2.21,629,Carpool Service
30703,Lyft Line,585,585,2.56,613,Carpool Service
30709,Lyft Line,472,472,2.17,542,Carpool Service
30715,Lyft Line,654,654,2.9,816,Carpool Service
30721,Lyft Line,599,599,2.86,692,Carpool Service
30727,Lyft Line,599,599,2.76,687,Carpool Service
30733,Lyft Line,563,563,2.61,572,Carpool Service
30739,Lyft Line,780,780,4.17,986,Carpool Service
30745,Lyft Line,449,449,1.38,396,Carpool Service
30751,Lyft Line,534,534,1.54,518,Carpool Service
30757,Lyft Line,609,609,2.47,760,Carpool Service
30763,Lyft Line,631,631,2.5,849,Carpool Service
30769,Lyft Line,553,553,2.46,586,Carpool Service
30775,Lyft Line,564,564,2.24,724,Carpool Service
30781,Lyft Line,579,579,2.37,703,Carpool Service
30787,Lyft Line,607,607,2.95,842,Carpool Service
30793,Lyft Line,605,605,2.54,661,Carpool Service
30799,Lyft Line,634,634,3.05,734,Carpool Service
30805,Lyft Line,612,612,2.74,712,Carpool Service
30811,Lyft Line,537,537,2.01,606,Carpool Service
30817,Lyft Line,809,809,4.03,1102,Carpool Service
30823,Lyft Line,561,561,2.27,694,Carpool Service
30829,Lyft Line,546,546,2.01,685,Carpool Service
30835,Lyft Line,526,526,2.06,731,Carpool Service
30841,Lyft Line,594,594,2.18,763,Carpool Service
30847,Lyft Line,604,604,2.92,692,Carpool Service
30853,Lyft Line,590,590,2.34,667,Carpool Service
30859,Lyft Line,651,651,3.06,895,Carpool Service
30865,Lyft Line,520,520,1.82,674,Carpool Service
30871,Lyft Line,585,585,2.42,746,Carpool Service
30877,Lyft Line,698,698,3.05,1053,Carpool Service
30883,Lyft Line,480,480,1.58,542,Carpool Service
30889,Lyft Line,862,862,4.28,1227,Carpool Service
30895,Lyft Line,630,630,2.59,896,Carpool Service
30901,Lyft Line,543,543,2.01,672,Carpool Service
30907,Lyft Line,746,746,3.54,1030,Carpool Service
30913,Lyft Line,676,676,3.36,879,Carpool Service
30919,Lyft Line,690,690,2.86,1082,Carpool Service
30925,Lyft Line,644,644,2.63,905,Carpool Service
30931,Lyft Line,511,511,1.68,609,Carpool Service
30937,Lyft Line,577,577,2.17,802,Carpool Service
30943,Lyft Line,743,743,3.34,936,Carpool Service
30949,Lyft Line,582,582,2.34,645,Carpool Service
30955,Lyft Line,644,644,2.82,785,Carpool Service
30961,Lyft Line,443,443,1.37,414,Carpool Service
30967,Lyft Line,731,731,3.9,858,Carpool Service
30973,Lyft Line,487,487,1.73,550,Carpool Service
30979,Lyft Line,653,653,2.98,767,Carpool Service
30985,Lyft Line,613,613,2.79,832,Carpool Service
30991,Lyft Line,649,649,3.1,794,Carpool Service
30997,Lyft Line,503,503,1.94,586,Carpool Service
31003,Lyft Line,588,588,2.27,778,Carpool Service
31009,Lyft Line,606,606,2.31,616,Carpool Service
31015,Lyft Line,678,678,2.79,969,Carpool Service
31021,Lyft Line,578,578,2.03,811,Carpool Service
31027,Lyft Line,513,513,1.56,599,Carpool Service
31033,Lyft Line,565,565,2.24,728,Carpool Service
31039,Lyft Line,542,542,1.8,749,Carpool Service
31045,Lyft Line,509,509,1.7,629,Carpool Service
31051,Lyft Line,559,559,2.06,647,Carpool Service
31057,Lyft Line,555,555,2.34,682,Carpool Service
31063,Lyft Line,615,615,2.24,876,Carpool Service
31069,Lyft Line,662,662,2.72,980,Carpool Service
31075,Lyft Line,489,489,1.53,534,Carpool Service
31081,Lyft Line,519,519,1.76,619,Carpool Service
31087,Lyft Line,764,764,3.73,1090,Carpool Service
31093,Lyft Line,571,571,2.26,735,Carpool Service
31099,Lyft Line,575,575,1.99,771,Carpool Service
31105,Lyft Line,508,508,1.56,545,Carpool Service
31111,Lyft Line,754,754,3.31,1105,Carpool Service
31117,Lyft Line,515,515,1.58,710,Carpool Service
31123,Lyft Line,651,651,1.84,611,Carpool Service
31129,Lyft Line,531,531,1.83,611,Carpool Service
31135,Lyft Line,679,679,2.97,990,Carpool Service
31141,Lyft Line,723,723,3.52,982,Carpool Service
31147,Lyft Line,541,541,1.97,717,Carpool Service
31153,Lyft Line,881,881,4.98,1109,Carpool Service
31159,Lyft Line,592,592,2.17,799,Carpool Service
31165,Lyft Line,573,573,2.06,754,Carpool Service
31171,Lyft Line,636,636,2.75,861,Carpool Service
31177,Lyft Line,509,509,1.75,543,Carpool Service
31183,Lyft Line,659,659,2.75,967,Carpool Service
31189,Lyft Line,727,727,2.68,840,Carpool Service
31195,Lyft Line,516,516,2.09,547,Carpool Service
31201,Lyft Line,474,474,1.5,515,Carpool Service
31207,Lyft Line,676,676,2.84,977,Carpool Service
31213,Lyft Line,692,692,3.21,1016,Carpool Service
31219,Lyft Line,541,541,1.81,737,Carpool Service
31225,Lyft Line,569,569,2.17,775,Carpool Service
31231,Lyft Line,579,579,2.38,735,Carpool Service
31237,Lyft Line,522,522,1.72,683,Carpool Service
